Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
2010,2.398,0.6194,0.157,,,,10231557,43780239.54999997,24707252.200000003,,11415857,,,,31298756.500000004,,,27191077,,,,,,0,0,0
2011,2.5295,0.4393,0.157,,,,10231557,42571793.34000002,20654621.05,24429774.0,12673343,,,,38628717.11000001,,,14998497,,,,,,0,0,0
2012,2.559,0.4578,0.157,1235692.0,179745762.0,73084766.0,10231557,42364424.84000002,19099049.44,26078117.0,13148153,775437.0,300626.0,26150905.0,32632796.160000004,31075823.0,3004848.0,11149192,976653.0,4825958.0,486098.0,-19299350.0,158116067.0,0,0,0
2013,2.559,0.4565,0.157,899766.0,174582244.0,75447974.0,10231557,40162632.02000004,21169041.35,27873673.0,15280000,3533711.0,1401864.0,16639716.0,38745580.63,7690580.0,2857706.0,10865017,1727032.0,2011207.0,4051526.0,-823286.0,156492882.0,0,0,0
2014,2.559,0.5002,0.157,640275.0,174111351.0,75337316.0,10231557,41581431.640000015,22113407.34,28979566.0,24776568,6019372.0,1522804.0,9572418.0,32467048.8,8129415.0,7292798.0,12500450,2583103.0,947670.0,244769.0,22.0,155333597.0,174621,0,0
2015,2.559,0.439,0.157,758519.0,173361220.0,72668588.0,10231557,44726559.35000001,19390716.400000002,25005185.0,26350159,2891688.0,1318097.0,12759993.0,34290844.09,4424673.0,7162745.0,11846831,2986952.0,3640572.0,177065.0,979352.0,154724559.0,179695,355237,175639
2016,2.559,0.4034,0.157,1019717.0,174546428.0,71414576.0,10231557,46872273.879999995,18717240.98,25331249.0,26948014,3155183.0,2516508.0,12089243.0,32985677.04,8509699.0,5325000.0,14879816,4592553.0,1553479.0,660011.0,1188148.0,153245563.0,253127,278222,204790
2017,2.559,0.3878,0.157,1911132.0,178721034.0,70129335.0,10231557,48045573.510000005,21039688.19,26266856.99,27014323,3242539.0,3139817.0,12790683.0,33789057.53,9058018.0,3072043.0,18026011,5158861.0,1918031.0,1035635.0,1084167.0,156745100.0,379241,229278,101190
2018,2.559,0.3858,0.157,2440815.0,175914894.0,70133614.0,10231557,50236705.97,20297262.86,28097906.0,28774711,3325468.0,1438279.0,12908523.0,36596602.20999999,6479981.0,3472702.0,21920586,4215354.0,344247.0,754619.0,18178.0,160839803.0,263821,269487,97653
2019,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557,49732982.13999998,19832479.009999998,29652353.0,33914245,5509008.0,0.0,17086535.0,41581818.449999996,7039535.0,4772886.0,27141633,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050,270869,0
2020,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558,62503746.0,22008411.0,29314554.0,32687852,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977,338228,0
