Date,Water Delivery - City of St. Petersburg,Water Delivery - Pinellas County,Water Delivery - City of Tampa (Uniform),Water Delivery - Hillsborough County,Water Delivery - Pasco County,Water Delivery - City of New Port Richey,Water Delivery - Uniform Sales Total,Fixed Water Sales - City of St. Petersburg,Fixed Water Sales - Pinellas County,Fixed Water Sales - City of Tampa (Uniform),Fixed Water Sales - Hillsborough County,Fixed Water Sales - Pasco County,Fixed Water Sales - City of New Port Richey,Variable Water Sales - City of St. Petersburg,Variable Water Sales - Pinellas County,Variable Water Sales - City of Tampa (Uniform),Variable Water Sales - Hillsborough County,Variable Water Sales - Pasco County,Variable Water Sales - City of New Port Richey,TBC Delivery - City of Tampa,TBC Sales - City of Tampa,Year,Month,Fiscal Year
2009-10-31 00:00:00,874.48,1701.5,0.0,1526.78,725.32,69.33,4897.41,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,541652.91,1053909.1,0.0,945687.53,449263.21,42943.0,30.16,4735.12,2009,10,2010
2009-11-30 00:00:00,823.88,1655.89,0.0,1425.24,687.02,80.88,4672.910000000001,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,510311.27,1025658.27,0.0,882793.66,425540.19,50097.07,563.45,88461.65000000001,2009,11,2010
2009-12-31 00:00:00,816.28,1617.29,0.0,1316.51,614.87,77.08,4442.03,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,505603.83,1001749.43,0.0,815446.29,380850.48,47743.35,42.65,6696.05,2009,12,2010
2010-01-31 00:00:00,812.38,1634.2,0.0,1341.93,605.67,79.28,4473.46,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,503188.17,1012223.48,0.0,831191.44,375152.0,49106.03,0.0,0.0,2010,1,2010
2010-02-28 00:00:00,713.45,1448.8,0.0,1133.49,522.62,57.85,3876.2099999999996,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,441910.93,897386.72,0.0,702083.71,323710.83,35832.29,0.0,0.0,2010,2,2010
2010-03-31 00:00:00,789.41,1647.63,0.0,1292.34,605.47,67.89,4402.740000000001,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,488960.55,1020542.02,0.0,800475.4,375028.12,42051.07,0.0,0.0,2010,3,2010
2010-04-30 00:00:00,810.02,1658.9,0.0,1418.77,695.94,70.05,4653.68,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,501726.39,1027522.66,0.0,878786.14,431065.24,43388.97,0.0,0.0,2010,4,2010
2010-05-31 00:00:00,874.32,1781.49,0.0,1684.43,803.73,79.06,5223.03,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,541553.81,1103454.91,0.0,1043335.94,497830.36,48969.76,0.0,0.0,2010,5,2010
2010-06-30 00:00:00,848.92,1748.48,0.0,1552.58,734.95,74.23,4959.159999999999,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,525821.05,1083008.51,0.0,961668.05,455228.03,45978.06,0.0,0.0,2010,6,2010
2010-07-31 00:00:00,850.73,1663.13,0.0,1452.31,674.8,71.98,4712.95,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,526942.16,1030142.72,0.0,899560.81,417971.12,44584.41,0.0,0.0,2010,7,2010
2010-08-31 00:00:00,847.32,1652.14,0.0,1368.68,628.07,70.42,4566.63,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,524830.01,1023335.52,0.0,847760.39,389026.56,43618.15,0.0,0.0,2010,8,2010
2010-09-30 00:00:00,831.44,1629.17,0.0,1497.08,678.41,71.54,4707.64,1556578.71,3218045.76,718850.02,2633594.2,1294046.59,133268.17,514993.94,1009107.9,0.0,927291.35,420207.15,44311.88,0.0,0.0,2010,9,2010
2010-10-31 00:00:00,885.8,1788.04,0.0,1782.35,787.91,78.06,5322.160000000001,1844281.13,3698510.71,0.0,3171195.1,1487123.52,162114.86,389131.94,785485.97,0.0,782986.36,346128.86,34291.76,499.14,78364.98,2010,10,2011
2010-11-30 00:00:00,809.67,1668.36,114.91,1538.1,714.31,71.76,4917.109999999999,1844281.13,3698510.71,0.0,3171195.1,1487123.52,162114.86,355688.03,732910.55,50479.96,675687.33,313796.38,31524.17,760.7,119429.90000000001,2010,11,2011
2010-12-31 00:00:00,826.51,1667.78,574.75,1488.8,687.18,69.54,5314.56,1844281.13,3698510.71,0.0,3171195.1,1487123.52,162114.86,363085.84,732655.75,252487.68,654029.84,301878.17,30548.92,658.44,103375.08,2010,12,2011
