,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,191136179.29157075,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,36280293.68192296,3000000.0,0.0,0.0,59307582.653532624,951229.8286523236,28144200.921995804,28380234.604217477,5236561.75314111,2356533.0050437315,1908045.746299653,423476.99118746165,176445619.72038758,1800721.1287513694,951229.8286523236,118721.4122184859
3,2022.0,2.5634,0.4174,0.195,1520356.2443642644,280888524.34377605,71153640.0,10231558.0,51911138.5779,24115089.458699998,31709477.49031998,36873596.63094174,3000000.0,2584073.2001280007,21880966.566720217,85508850.18078493,0.0,92253153.11755736,32621330.306340165,5124121.372719323,1021778.040412393,1909776.3464587487,1123424.4171041546,184506306.23511472,3028382.1935387063,1336022.7870633416,117165.53688416301
4,2023.0,2.877683735049751,0.4644726977989595,0.195,1872605.4339516978,286082520.740391,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32381227.767909624,38676508.065895855,4500000.0,2890293.5924990787,34764556.531405196,112079215.7245177,6000000.0,89610925.01780112,35516769.03075441,4441848.447183382,1717334.32989323,865493.1622358493,1261791.0686515863,179221850.03560224,4438456.062052625,1561421.3678696232,167215.18567601359
5,2024.0,2.8808409215422253,0.4656989995191114,0.195,2509078.547511857,291667326.9917832,63104152.0,10231558.0,55393804.95395273,25732946.695394717,33266278.08902294,40297734.54207744,4400000.0,3026732.2743943175,33997857.96204162,140134332.3122836,8279100.028015038,91228733.22098714,39619497.225796856,7646440.457560067,3771413.6273449273,1569773.024716976,442838.03002467065,182457466.44197428,4398745.125426883,189418.87447336604,257585.1726265123
6,2025.0,2.8520845001240205,0.4725781915721083,0.195,3421959.9901417703,293458813.4828358,62550902.0,10231558.0,57221800.51743317,26582133.936342742,34449231.02407548,42008230.871035084,3800000.0,2403276.9700742783,32102866.09363629,171569933.66456515,3300000.0,92770329.92663632,40351429.9814902,6252402.274061797,5828961.806875242,645778.8591597168,1089442.7823250555,185540659.85327265,6379816.142092275,1991350.8911658782,44530.15644039496
7,2026.0,3.238231357679732,0.469196836436996,0.195,5063274.334986891,321922584.24317425,86840327.0,10231558.0,59545281.514508456,27558078.49624205,36172675.32777943,44734505.31636458,3200000.0,908279.8975954434,18463881.07909797,202716679.6554762,2400000.0,106078388.84820986,44108541.44426334,8484385.477182621,5144689.572696616,2688584.948784911,790647.8660543066,212156777.69641972,7966496.008280994,1679511.3026026862,158827.4746694225
8,2027.0,4.120782160160787,0.49795832620779734,0.195,3867936.9491551286,388121463.8233624,128769033.69726971,10231558.0,61945437.38448724,28566229.226618037,37458740.11839526,46321709.67932722,2600000.0,1311731.385938044,17959920.44556901,237061767.28800678,9123816.7708946,130232730.29870155,45706000.68262571,6820992.92121446,5518286.464319281,1105236.4912300457,650606.3162123065,260465460.5974031,9015293.507390022,1198700.8024695723,203138.95296721585
9,2028.0,4.46730629721377,0.5115775549448158,0.195,3316124.691845266,440007621.00440484,155248585.52934498,10231558.0,64424798.398175314,29607648.93109643,39907614.02597903,48832233.38199896,5000000.0,2711818.1900735544,19539922.29658875,264094586.71264368,8850000.0,145437742.78472656,52321115.42868386,8367718.799049477,1971990.5733064152,1708109.840471072,341361.8405538141,290875485.5694531,9834492.57210763,1277953.3961268873,502027.2899413375
