,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,275109867.1247901,175153964.2397078,74158769.397,26794543.843,174156553.88479006,71153640.0,10231558.0,88222809.86019377,3400000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,9886202.144918244,0.0,1846890.8799702176,0.0,283529.9920710176,0.0,715976.0683410539,0.0
3,2023.0,183820663.57692,275589357.22608536,175158188.0981292,76606008.787101,27678763.789818995,171304584.64916536,62604333.0,10231558.0,92253153.11755735,4000000.0,0.0,0.0,2.920581910946366,0.45849961742517326,0.195,6700000.0,7510599.686636914,0.0,667416.3237619064,0.0,930031.9604852088,0.0,1869235.9927189967,0.0
4,2024.0,186861880.07195836,279848147.0950978,178686337.28996634,79134007.07707533,28592162.99488302,172121977.02313942,63104152.0,10231558.0,89419967.78617087,3300000.0,0.0,0.0,2.8793000507933684,0.4662394172195103,0.195,5800000.0,10288614.657337071,0.0,1453227.3616234555,0.0,1031868.0389630797,0.0,1088466.4933213876,0.0
5,2025.0,185363593.68433297,277710618.9918624,176841707.54463997,81745429.31061882,29535704.373714156,166429485.30752945,62550902.0,10231558.0,91246119.19861908,4500000.0,0.0,0.0,2.838303621105538,0.47246022994534803,0.195,1300000.0,7927925.320219532,0.0,1694866.9283838216,0.0,1737152.5219580077,0.0,1235907.9004284858,0.0
6,2026.0,219156660.09591597,309337605.92556214,209874710.45803198,85064687.87786923,30620087.21804672,193652830.82964617,86840327.0,10231558.0,92766483.35421918,4000000.0,0.0,0.0,3.310743732662192,0.4710237036974379,0.195,6400000.0,3933389.8975306535,0.0,2763022.2157802954,0.0,2184646.193366447,0.0,391229.2769386645,0.0
7,2027.0,269056801.64629394,382475551.3494924,260663211.58035743,88493481.97783892,31740254.69624226,262241814.67541116,130691506.97221275,10231558.0,106136706.343386,2600000.0,0.0,0.0,4.151992274012506,0.5121492677608902,0.195,7900000.0,11738670.840112042,0.0,3936962.585636929,0.0,2621812.1575971353,0.0,1686346.341544462,19637126.027787253
8,2028.0,296700958.48879594,437827144.47011024,288687169.63508224,92035426.2831076,32897387.701218255,312894330.4857844,158436586.50447008,10231558.0,131657655.75297949,3300000.0,0.0,0.0,4.473155920578355,0.5235272637357954,0.195,3100000.0,15616944.798288876,0.0,1865374.2837595763,0.0,1779592.5151243603,0.0,300194.12803346233,35928654.52331719
9,2029.0,238139780.36912578,384375792.09618354,229116766.90150732,95694254.75045013,34092706.09535845,254588831.25037494,96521261.52331719,10231558.0,147416833.5838059,4700000.0,0.0,0.0,3.6402474439489008,0.5336596458840366,0.195,1600000.0,5583529.998458391,0.0,2258661.6124119773,0.0,3704924.9949894645,0.0,560992.671481408,0.0
10,2030.0,207978408.55372027,323294920.95479906,198759693.17723864,99473824.55721498,35327469.99650528,188493626.4010788,56145556.0,10231558.0,118300237.1223481,3100000.0,0.0,0.0,3.227434309747896,0.5578813358698128,0.195,6800000.0,3603245.929678699,0.0,2631744.725533615,0.0,1944060.5564008371,0.0,232819.84744370708,0.0
11,2031.0,164811263.27399302,278509474.6216524,167066997.67904913,103378120.16760306,36602981.106389955,138528373.3476594,22730162.0,0.0,100894546.61933462,3600000.0,0.0,0.0,2.5334028411823395,0.5913233794665732,0.195,2100000.0,7993353.563873526,0.0,2554576.7593951426,0.0,2122306.8879239494,0.0,768866.8149869797,0.0
