,Principal Payments Start ,Maturity,Interest Rate (actual or min),Interest Rate (max),Outstanding Principal,Original Amount,ID
0,,2029.0,5.1,6.0,50000000.0,309370000.0,
1,,2020.0,5.25,,5005000.0,107870000.0,
2,,2024.0,5.5,,132990000.0,174965000.0,
3,,2026.0,5.0,,6395000.0,66980000.0,
4,,2021.0,5.0,,36915000.0,104645000.0,
5,,2024.0,3.0,5.0,46175000.0,140645000.0,
6,,2038.0,3.5,5.0,75295000.0,75295000.0,
7,2025.0,2036.0,5.0,,37775000.0,37775000.0,
8,2028.0,2036.0,4.0,,143060000.0,143060000.0,
9,,2031.0,1.01,3.33,93100000.0,95975000.0,
10,2032.0,2038.0,3.25,5.0,96630000.0,96630000.0,
11,,2031.0,1.17,3.61,32125000.0,32785000.0,
12,,2031.0,1.17,3.61,55345000.0,55345000.0,
13,,2029.0,4.875,5.03,72627030.0,159645307.0,
14,2032.0,2055.0,4.0,,107889760.47882313,151745000.0,5.0
