,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.3677742577621383,1.9219509554508634,0.0,0.0,0.0,0.0,4233325.0,951439.0187280222,3000000.0,0.0,0.0,105402368.75921993,152115106.99999997,24227882.802702263,0.0,0.0
1,2022.0,2.10029870806528,2.8312680261922996,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,0.0,170308322.3480022,158321385.157,25882805.03648,0.0,0.0
2,2023.0,2.1547703354539016,2.99986787255599,0.0,0.0,0.0,0.0,8087310.438560607,4200000.0,3600000.0,0.0,0.0,155920427.7278064,149441899.78710103,29529405.943612132,0.0,0.0
3,2024.0,2.1611290298360077,2.972885013338388,0.0,0.0,0.0,0.0,8219758.835747368,8219758.835747368,2700000.0,0.0,0.0,154814871.332606,152469717.07707536,29900912.204342492,0.0,0.0
4,2025.0,2.207489335723122,3.105718825207185,0.0,0.0,0.0,0.0,8374684.07871269,1350000.0,2700000.0,0.0,0.0,160994791.59779313,154527889.31061885,31089100.22088392,0.0,0.0
5,2026.0,2.06654437833611,2.6880133598572025,0.0,0.0,0.0,0.0,8349161.302192017,2850000.0,3800000.0,0.0,0.0,199687926.04657146,182136572.87786925,30533581.114885863,0.0,0.0
6,2027.0,1.9217788778213047,2.3703245953109904,0.0,0.0,0.0,0.0,9208325.665365614,9208325.665365614,4600000.0,0.0,0.0,264607204.37503815,224839752.2886007,32713561.37759183,0.0,0.0
7,2028.0,1.818934988787391,2.2213852583280915,0.0,0.0,1.0,0.0,11112048.370618502,11100000.0,3200000.0,2584495.1079130173,0.0,306414574.0884209,256397249.0945515,33727440.82841257,0.0,0.0
8,2029.0,1.9928022787274913,2.636986090406838,0.0,0.0,1.0,0.0,13087658.681419397,13087658.681419397,2800000.0,4699409.65502426,0.0,237891303.25758475,211330190.6282445,33985129.94098587,0.0,0.0
9,2030.0,2.3192089009039893,3.7016512426778228,0.0,0.0,0.0,0.0,12066548.389333792,10350000.0,4700000.0,0.0,0.0,161483348.8310912,165850938.55721498,37138712.847470395,0.0,0.0
10,2031.0,3.0866845434122823,6.960032051085606,0.0,0.0,0.0,0.0,10067806.574355464,1950000.0,3300000.0,0.0,0.0,111192327.89819348,126108282.16760306,37267199.02972101,0.0,0.0
11,2032.0,2.4463119128891804,3.710526907817526,0.0,0.0,0.0,0.0,8275542.86930934,5400000.0,3700000.0,0.0,0.0,163864642.228172,164802328.3609651,38022533.053053096,0.0,0.0
12,2033.0,2.365070355341728,3.5414820273229806,0.0,0.0,0.0,0.0,8940115.746895002,8940115.746895002,2800000.0,0.0,0.0,183646549.6491262,177911216.25955847,39992012.90955145,0.0,0.0
13,2034.0,2.149471081697236,3.0687098180292014,0.0,0.0,0.0,0.0,10132138.31304621,2850000.0,2800000.0,0.0,0.0,215589411.5101513,203674707.77780554,41805591.72454277,0.0,0.0
14,2035.0,2.1567820734735,3.111084982130944,0.0,0.0,0.0,0.0,11288520.564790972,11288520.564790972,4500000.0,0.0,0.0,223705440.25990224,210284079.9411546,43910819.337764576,0.0,0.0
15,2036.0,1.898467048292024,2.493491850688316,0.0,0.0,0.0,0.0,12039466.249667438,12000000.0,4000000.0,0.0,0.0,314005422.7773223,274135963.49689436,43832173.53775972,0.0,0.0
16,2037.0,1.8974981864874843,2.4381360533515877,0.0,0.0,0.0,0.0,14215350.683279857,3000000.0,2900000.0,0.0,0.0,351858004.332021,298555469.8549733,44632900.57160072,0.0,0.0
17,2038.0,2.2650303248170185,3.5596110820397424,0.0,0.0,0.0,0.0,15451955.30119874,6300000.0,2900000.0,0.0,0.0,218921262.70267886,213626045.19186905,48542906.679591596,0.0,0.0
18,2039.0,2.350220523609868,3.644040235898695,0.0,0.0,0.0,0.0,13491590.496225419,5700000.0,3600000.0,0.0,0.0,216180325.59805298,216401610.72288227,50234590.431260906,0.0,0.0
