,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,197944895.8529451,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,33505444.68192296,3000000.0,2774849.0,33968471.91577696,68969408.87370467,1490288.6497147717,4376614.047453339,19583541.896120097,1775000.04,7691664.0,1815093.8587199615,57164.44637679482,175064561.89813358,1870114.3620323034,1690288.6497147717,788387.0
3,2022.0,2.5634,0.4174,0.195,3493671.176086059,199571836.69190687,71153640.0,10231558.0,51911138.5779,24115089.458699998,32442778.256421186,20653930.49927985,1400000.0,14631014.0,33635398.92566523,102884510.55366303,245960.3785558571,4121094.3510857793,11293987.116130523,3000000.0,11511368.0,413567.28564976814,55867.76073067725,164843774.04343116,1895213.61313351,430960.3785558571,427043.0
4,2023.0,2.5890340000000003,0.42669398845879647,0.195,1445300.035688085,192091415.53875384,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32975439.326750565,21672724.242093883,5000000.0,4071881.0,21425358.671999987,120605701.71832392,4121094.3510857783,4086338.3282552473,9092992.876937693,10023733.976690806,12274311.0,1896735.1854696511,707466.4852146372,163453533.1302099,2088533.9668286352,185000.0,0.0
5,2024.0,2.6149243400000004,0.4167809985805064,0.195,2371522.344105756,196024065.1032226,63104152.0,10231558.0,55393804.95395273,25732946.695394717,33844980.670301944,20450237.19954593,5000000.0,6373146.0,23835369.21165908,141326813.3864315,4086338.3282552483,4220022.929780317,9296167.555161132,8452055.312435757,8312091.0,1221058.1242355944,772653.7871581428,168800917.19121265,2157208.508500219,185000.0,130844.0
6,2025.0,2.6410735834000003,0.4276866994895199,0.195,3153430.4834294375,197390199.9254666,62550902.0,10231558.0,57221800.51743317,26582133.936342742,34984775.457052425,20685656.85248494,4500000.0,4438822.0,23900452.725598063,162288730.98666686,4220022.929780316,4297367.362716554,9377195.846273333,8306260.383376067,8304438.0,674373.2215088765,484395.85230555036,171894694.50866213,1975313.519088239,185000.0,385275.0
7,2026.0,2.6674843192340005,0.3952651137733503,0.195,4350759.354710653,195570797.58666408,78956079.97018664,10231558.0,59110119.93450846,27459344.35624205,36540185.503555946,21026712.58082219,4750000.0,4634046.0,5482918.741706007,165249151.77787656,4297367.362716555,4306207.584020934,9489237.677545544,5250000.0,5240001.0,390287.7174921168,112665.42819082992,172248303.36083737,2021377.9199993913,185000.0,160431.0
8,2027.0,2.6941591624263403,0.41711103309777775,0.195,1438207.2443934903,189914203.7164391,78228319.03466563,10231558.0,61060753.892347224,28365502.71999803,37050957.046377376,21100582.518332243,4000000.0,3996596.0,883645.1317695109,162364930.21140555,4306207.584020934,4290755.9376587095,9691511.560666658,3000000.0,2829527.0,561362.7384947018,845858.0591606486,171630237.50634837,1881821.0788055947,185000.0,331331.0
9,2028.0,2.7211007540506036,0.43201508555341306,0.195,2176752.395715203,193525421.3561017,75965681.48657566,10231558.0,63075758.770794675,29301564.309757967,37828405.0284001,21145049.13190715,5000000.0,5063582.0,2579253.1948273117,165027836.10701782,883645.1317695109,4426640.4389798995,9489091.360621845,3000000.0,3252047.0,674007.8956794632,119013.43608286924,177065617.55919597,1836422.373561017,293339.1551661799,348374.0
