,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,183268585.02062035,175153964.2397078,74158769.397,26794543.843,82315271.78062035,71153640.0,10231558.0,4376614.047453339,3000000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,2774849.0,0.0,963157.7334591934,7691664.0,1775000.04,788387.0,200000.0,0.0
3,2023.0,179420663.57692,185468259.92386177,168820413.67387345,76606008.787101,27678763.789818995,81183487.34694177,62604333.0,10231558.0,4121094.3510857783,1400000.0,0.0,0.0,2.5890340000000003,0.4277118440549195,0.195,18767539.02339766,11875009.82455699,0.0,651742.0743455513,11511368.0,3000000.0,427043.0,185000.0,0.0
4,2024.0,182061880.07195836,180219494.3871101,170889318.77379805,79134007.07707533,28592162.99488302,72493324.31515177,63104152.0,10231558.0,4087965.3521246077,5000000.0,0.0,0.0,2.6149243400000004,0.4200592355660395,0.195,13357552.701253485,4071881.0,0.0,1170329.2611874589,12274311.0,4000000.0,0.0,185000.0,0.0
5,2025.0,189663593.68433297,190202880.36347115,178080493.7371191,81745429.31061882,29535704.373714156,78921746.67913818,62550902.0,10231558.0,4225296.198481606,5000000.0,0.0,0.0,2.6410735834000003,0.4255866553551769,0.195,22780675.731708653,6373146.0,0.0,1523944.4278704375,8312091.0,4250000.0,130844.0,185000.0,0.0
6,2026.0,205706036.43921107,202335951.09333462,192121459.57572305,84443028.47786923,30510382.61804672,87382539.99741867,78821067.34329511,10231558.0,4293943.379823209,4500000.0,0.0,0.0,2.6674843192340005,0.40436773288801253,0.195,30830317.668168265,4438822.0,0.0,1481726.1377883484,8304438.0,5500000.0,385275.0,185000.0,1949459.6567048877
7,2027.0,208099474.89052927,203634418.0456132,193784511.52834898,87229648.4176389,31517225.244442258,84887544.38353205,78021043.22844812,10231558.0,4320736.333804896,4750000.0,0.0,0.0,2.6941591624263403,0.41733095214054466,0.195,34612963.27644096,4634046.0,0.0,895124.1834593031,5240001.0,5250000.0,160431.0,185000.0,68187249.42825678
8,2028.0,213665705.56543574,210085716.2671052,199292999.98285574,90108226.81542097,32557293.67750885,87420195.77417538,76168627.07250592,10231558.0,4291115.230241067,4000000.0,0.0,0.0,2.7211007540506036,0.42253089431882984,0.195,37777205.67719285,3996596.0,0.0,2505005.054008381,2829527.0,3000000.0,331331.0,185000.0,160676937.35575086
9,2029.0,216783950.61890742,213879580.12188622,201870367.18467823,93081798.30032985,33631684.36886664,87166097.45268974,77938909.94971094,10231558.0,4411358.601485384,5000000.0,0.0,0.0,2.7483117615911095,0.43656807474886317,0.195,38893326.66582343,5063582.0,0.0,2534272.3357226267,3252047.0,3000000.0,348374.0,185000.0,137260834.40603992
10,2030.0,226300197.37081808,219901443.15152004,209777652.87460113,96153497.64424072,34741529.95303924,89006415.55424008,78573611.77353813,10231558.0,4376176.795051949,5000000.0,0.0,0.0,2.7757948792070204,0.43544693573000226,0.195,54025789.39126816,4837252.0,0.0,910361.4818669526,2715748.0,3000000.0,143262.0,185000.0,108762978.6325018
11,2031.0,217489918.9589873,224917904.10842463,212817172.50911427,99326563.06650066,35888000.441489525,89703340.60043445,75875355.45099713,0.0,4327952.586202247,5000000.0,0.0,0.0,2.8035528279990904,0.47383160890346365,0.195,41503969.22891452,5148861.0,0.0,2623918.0131081315,2121309.0,3000000.0,269483.0,185000.0,49547985.18150467
