,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,0.9308183480408798,1.4124471423704235,0.0,0.0,0.0,0.0,4233325.0,1498735.918316321,3000000.0,0.0,0.0,69689290.00576968,150734049.177746,24227882.802702263,0.0,0.0
1,2022.0,0.7083696993555418,1.189912600159487,0.0,0.0,0.0,0.0,4376614.047453339,229599.9009310531,1400000.0,0.0,0.0,53519909.25201684,138658852.96531644,25882805.03648,0.0,0.0
2,2023.0,0.8444921195328027,1.5548164083086156,0.0,0.0,0.0,0.0,4121094.3510857783,4121094.3510857783,5000000.0,0.0,0.0,65627646.041972145,136089126.38647094,26880022.6687865,0.0,0.0
3,2024.0,0.8641890153734321,1.568563592227479,0.0,0.0,0.0,0.0,4076276.226381436,4076276.226381436,5000000.0,0.0,0.0,66191975.069093145,141960686.01267537,27165121.381450295,0.0,0.0
4,2025.0,0.8851262009661667,1.6048318088103557,0.0,0.0,0.0,0.0,4228730.184853141,4228730.184853141,4500000.0,0.0,0.0,66623440.627317995,143809628.16867325,27877309.248554975,0.0,0.0
5,2026.0,0.9377450371005837,1.501263675757185,0.0,0.0,0.0,0.0,4296985.252392212,4296985.252392212,4750000.0,0.0,0.0,83247980.23063809,146948214.74685127,25899743.268258713,0.0,0.0
6,2027.0,0.9684146154669189,1.5116721503198935,0.0,0.0,0.0,0.0,4322815.937640463,4322815.937640463,4000000.0,0.0,0.0,82743162.06378838,143942218.92771652,26577535.746759854,0.0,0.0
7,2028.0,0.9540493562859912,1.5353423098315238,0.0,0.0,0.0,0.0,2837301.8738682037,2837301.8738682037,5000000.0,0.0,0.0,80927962.31598127,148833648.7101752,27674113.351590116,0.0,0.0
8,2029.0,0.9563382206863178,1.5325869482132248,0.0,0.0,0.0,0.0,4422389.180252757,4422389.180252757,5000000.0,0.0,0.0,83333002.49937658,147057892.70398277,27330068.151226845,0.0,0.0
9,2030.0,0.8425034191513446,1.4223914687142651,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,6287280.962445661,72975400.13418931,145027250.06640846,28171071.0422288,0.0,0.0
10,2031.0,0.9880371367887759,1.464836483301444,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,83241644.11595878,147409879.03723365,30953901.665044963,0.0,0.0
11,2032.0,0.8105024372145736,1.3225481030078945,0.0,0.0,0.0,0.0,4462092.642556965,4462092.642556965,3000000.0,0.0,0.0,73443022.62633985,148841899.0201722,31061166.762479413,0.0,0.0
12,2033.0,0.8465709172720075,1.4842728159476877,0.0,0.0,0.0,0.0,4497869.144566289,4497869.144566289,1400000.0,0.0,0.0,76234943.84778866,148780202.4491897,32557162.356667683,0.0,0.0
13,2034.0,0.8071878725731343,1.4713105718405841,0.0,0.0,0.0,0.0,4539576.620146436,4539576.620146436,5000000.0,0.0,0.0,82542493.42095274,151315594.36625123,32024137.84351212,0.0,0.0
14,2035.0,0.8746286344928005,1.4539490597872757,0.0,0.0,0.0,0.0,4271127.650069961,4271127.650069961,5000000.0,0.0,0.0,82946513.16332996,149234702.03936452,33893722.489972636,0.0,0.0
15,2036.0,0.7724051852534615,1.2522206711465271,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,15754055.788150072,74051102.43216443,152242651.09040645,32133784.900987294,0.0,0.0
16,2037.0,0.7393167648615764,0.9106046755098466,0.0,0.0,1.0,0.0,0.0,0.0,4750000.0,13813637.713662822,21309333.242417693,67698531.11279719,147621711.90625447,33021494.82006885,1.0,21309333.242417693
17,2038.0,0.6894512643450451,0.7501982334571684,0.0,0.0,1.0,0.0,0.0,0.0,4000000.0,19400617.65702698,21688364.899323218,59600929.83869863,146377470.42848253,34087024.849195436,1.0,21880200.052370243
18,2039.0,0.7547342710804076,0.7844597033229447,0.0,0.0,1.0,1.0,0.0,0.0,157557.49744674377,19590579.739700057,19497633.02391296,62890898.49959723,150092261.9881412,35822011.880001284,1.0,19497633.02391296
