,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
0,2019.0,2.559,0.3988,0.157,3804846.0,183438752.0,70122276.0,10231557.0,49732982.13999998,19832479.01,29652353.0,33914245.0,5509008.0,0.0,17086535.0,41581818.45,7039535.0,4772886.0,27141633.0,5356993.0,653919.0,460656.0,6476.0,166187166.0,553050.0,270869.0,0.0
1,2020.0,2.559,0.4028,0.195,3738379.0,195303127.0,70354915.0,10231558.0,62503746.0,22008411.0,29314554.0,32687852.0,4988288.0,2593877.0,17374383.0,35700886.0,11468475.0,4168060.0,25046262.0,7427045.0,1752408.0,492126.0,19851.0,170303928.0,950977.0,338228.0,0.0
2,2021.0,2.559,0.3848,0.195,4817949.0,198683630.93598035,70093840.0,10231558.0,50252796.3,23344713.900000002,31146703.531195242,33505444.68192296,3000000.0,2774849.0,34670004.045746244,69693515.53925411,1497602.8584576952,4406502.791776425,19583541.896120097,1775000.04,7691664.0,1354564.3227341734,53565.083731517734,176260111.671057,1877428.570775227,1697602.8584576952,788387.0
3,2022.0,2.5634,0.4174,0.195,2866234.5563513525,220345031.2650695,71153640.0,10231558.0,51911138.5779,24115089.458699998,32209076.04474998,20584767.163086887,1400000.0,14631014.0,53688291.5092855,123811883.44134231,448148.85268142284,4639207.866502593,11253561.952254364,3000000.0,11511368.0,523570.5534258433,389877.85073077504,185568314.6601037,2100923.674123881,633148.8526814228,427043.0
4,2023.0,2.72674739289142,0.45125008357203567,0.195,1156910.3277704834,206003065.33556172,62604333.0,10231558.0,53624206.1509707,24910887.410837095,32625618.609208167,21579465.368089896,5000000.0,4071881.0,34369701.97535718,153757539.0488719,4639207.866502593,4453913.207274979,9639114.973452957,10623465.591121774,12274311.0,495224.35982350056,569794.6239634199,178156528.29099914,2292718.884722425,185000.0,0.0
5,2024.0,2.82680997258986,0.45358668787697076,0.195,2858345.169168054,209595203.67252645,63104152.0,10231558.0,55393804.95395273,25732946.695394717,33638351.08110656,20365709.570248827,5000000.0,6373146.0,37099592.35732111,187620173.83333015,4453913.20727498,4535185.2269901205,9842028.823262574,8443808.43886777,8312091.0,1240103.4399316271,496282.5692720094,181407409.0796048,2363809.3601737907,185000.0,130844.0
6,2025.0,2.8532956134678975,0.47241372407635096,0.195,1842408.2778662946,210480200.85564548,62550902.0,10231558.0,57221800.51743317,26582133.936342742,34278550.717467174,20513312.521398805,4500000.0,4438822.0,36647092.42139358,221301761.68695506,3861751.3715877784,4635237.6088882005,9891108.324202886,8311751.371587778,8304438.0,1588266.359346077,499825.2643271781,185409504.355528,2173565.540662553,185000.0,385275.0
7,2026.0,3.2312051632719143,0.4725667604283037,0.195,3041997.8134404407,229603421.8251196,80770527.0,10231558.0,59110119.93450846,27459344.35624205,35316938.75755576,20759154.92962407,4750000.0,4634046.0,35844806.54339433,254426974.5760236,4635237.6088882005,5149619.1621207865,10976614.741255982,6262877.8288540095,5240001.0,1393227.395380303,38907.913690988484,205984766.48483145,2211897.357757814,185000.0,160431.0
8,2027.0,3.37466360042833,0.49152973640851194,0.195,5462685.290741537,242671526.02271086,91841368.73004785,10231558.0,61060753.892347224,28365502.71999803,37140068.18493002,20967232.07847836,4000000.0,3996596.0,38175804.7376416,294627940.3227554,888295.1058722651,5554573.83680388,11609150.19584193,3353839.441150693,2829527.0,1783641.1736559756,378208.81816512445,222182953.47215515,2321830.039168386,419455.66472157184,331331.0
9,2028.0,3.4470767504072004,0.49446155270299436,0.195,4550075.089912004,254046860.3153362,97068610.40908435,10231558.0,63075758.770794675,29301564.309757967,38637641.306190625,21055542.46208969,5000000.0,5063582.0,39797999.480389826,334290774.02876353,2474850.47145711,5759892.873852261,12159441.292193955,3718238.226214258,3252047.0,1148801.3884201015,1607215.57465263,230395714.95409045,2431888.2584387907,441612.2452428518,348374.0
