,Fiscal Year,Annual Estimate,Gross Revenues,Water Sales Revenue,Fixed Operating Expenses,Variable Operating Expenses,Net Revenues,Debt Service,Acquisition Credits,Unencumbered Carryover Funds,R&R Fund Deposit,Rate Stabilization Fund Deposit,Other Funds Deposit,Uniform Rate,Variable Uniform Rate,TBC Rate,Rate Stabilization Fund Transfers In,R&R Fund Transfers In,Other Funds Transfers In,Interest Income,CIP Fund Transfer In,CIP Fund Deposit,Energy Savings Fund Transfer In,Energy Savings Fund Deposit,Debt Service Deferred
0,2020.0,168872283.0,177428927.0,169766978.0,61849872.0,26657538.0,88921517.0,70133315.0,10231558.0,4168060.0,4500000.0,0.0,1712872.0,2.559,0.4028,0.195,1600000.0,6607280.0,0.0,1893889.0,0.0,2343772.0,0.0,0.0,0.0
1,2021.0,178053678.0,182829643.0,175384352.0,71789709.0,25938571.0,85101363.0,70093840.0,10231558.0,4233325.0,3000000.0,0.0,0.0,2.559,0.3848,0.195,0.0,0.0,0.0,3211966.0,0.0,1775965.0,0.0,0.0,0.0
2,2022.0,185115929.0,266870800.78182447,175095794.95570418,122225200.02113613,38768007.636654325,105877593.12403402,46425218.190695696,10231558.0,83368522.08967364,2900000.0,0.0,0.0,2.5634,0.4174,0.195,0.0,7144685.152832946,0.0,1261798.583613702,0.0,1526562.0951867579,0.0,1322531.0855178193,24728421.809304304
3,2023.0,337927677.8716429,431545876.9884887,330853174.29463625,208093885.99425492,57942992.16081287,165508998.83342087,61659241.716575086,10231558.0,82107891.69430465,3900000.0,0.0,0.0,3.511413316958704,0.6348917512533906,0.195,0.0,17460773.243819505,0.0,1124037.7557283298,0.0,1279160.4316368366,0.0,349501.10660995403,25673513.09272921
4,2024.0,539900485.2163815,700715601.0142945,532070800.7591457,354289175.8876374,86602086.23601489,259824338.89064223,88777665.09272921,10231558.0,151528007.1502771,4300000.0,0.0,0.0,5.687033996123854,0.9375218641498662,0.195,0.0,14569794.38916786,0.0,2546998.7157037873,0.0,1458808.60476516,0.0,1157389.4760277998,0.0
5,2025.0,805411885.8493992,1058000180.0506974,797636754.7573385,603193215.1750324,129436210.67436682,325370754.20129824,62550902.0,10231558.0,242693692.8136042,4400000.0,0.0,0.0,8.447335437280042,1.3833186695135058,0.195,0.0,15000310.126681112,0.0,2669422.3530735434,0.0,1468040.2829848847,0.0,90528.17839189143,0.0
6,2026.0,1318588308.6787925,1747936750.4447467,1318193548.467999,1027276918.6731921,194239505.0056002,526420326.7659544,86840327.0,10231558.0,362322170.7548453,4400000.0,0.0,0.0,13.581644247852415,2.1020144350473706,0.195,0.0,63557985.442425445,0.0,3863045.7794767767,0.0,6175650.790837494,0.0,1084674.0578713324,0.0
7,2027.0,2200953695.9493103,2942106655.165811,2207744536.995134,1749298448.0509858,291095056.89832455,901713150.2165008,150328633.0,10231558.0,595976351.5576466,4200000.0,0.0,0.0,22.82346341198146,3.195118258062123,0.195,0.0,121594860.39963226,0.0,16790906.213398192,0.0,8379668.964232407,0.0,1958244.555588183,0.0
8,2028.0,3599388348.4027467,4816083022.741417,3611404820.611864,2978572491.323225,435856184.0795215,1401654347.3386705,174728115.0,10231558.0,1003304104.7876965,3900000.0,0.0,0.0,36.484090914305725,4.643432148895134,0.195,0.0,174805812.12010983,0.0,26568285.22174663,0.0,17287754.825109597,0.0,645782.925334309,0.0
9,2029.0,5794508248.912707,7726422785.752628,5812355063.541251,5071466694.582082,652217389.3306253,2002738701.8399212,60592607.0,10231558.0,1641195277.3707893,4099999.9999999995,0.0,0.0,58.85117324348259,6.909335814990787,0.195,0.0,239161164.9528373,0.0,33711279.8877504,0.0,22641325.77921561,0.0,1337804.1750707894,0.0
10,2030.0,9676682752.710648,12543975362.722239,9682049158.089497,8634712961.76489,975592676.9457575,2933669724.0115905,56145556.0,10231558.0,2647843708.6919236,3700000.0,0.0,0.0,98.1957674393331,10.058273839942132,0.195,0.0,152277954.6967976,0.0,61804541.2440202,0.0,7801572.647662536,0.0,1002598.4237483083,0.0
11,2031.0,16182941856.317202,21504492391.470398,16250776404.388784,14701299576.99947,1458912117.3177323,5344280697.153196,22730162.0,0.0,4423814658.4432955,3300000.0,0.0,0.0,167.12424647897592,15.766996336879167,0.195,0.0,719020696.1735399,0.0,110880632.46477868,0.0,24049458.32360698,0.0,1453087.6281262003,0.0
