,Principal Payments Start ,Maturity,Interest Rate (actual or min),Interest Rate (max),Outstanding Principal,Original Amount,ID
0,,2029,5.1,6.0,50000000,309370000,
1,,2020,5.25,,5005000,107870000,
2,,2024,5.5,,132990000,174965000,
3,,2026,5.0,,6395000,66980000,
4,,2021,5.0,,36915000,104645000,
5,,2024,3.0,5.0,46175000,140645000,
6,,2038,3.5,5.0,75295000,75295000,
7,2025.0,2036,5.0,,37775000,37775000,
8,2028.0,2036,4.0,,143060000,143060000,
9,,2031,1.01,3.33,93100000,95975000,
10,2032.0,2038,3.25,5.0,96630000,96630000,
11,,2031,1.17,3.61,32125000,32785000,
12,,2031,1.17,3.61,55345000,55345000,
13,,2029,4.875,5.03,72627030,159645307,
