,Fiscal Year,Debt Covenant Ratio,Rate Covenant Ratio,Partial Debt Covenant Failure,Partial Rate Covenant Failure,Reserve Fund Balance Initial Failure,R&R Fund Balance Initial Failure,Cap on Rate Stabilization Fund Transfers In,Rate Stabilization Funds Transferred In,Required R&R Fund Deposit,Required Reserve Fund Deposit,Necessary Use of Other Funds (Rate Stabilization Supplement),Final Net Revenues,Fixed Sales Revenue,Variable Sales Revenue,Reserve Fund Balancing Failure,Remaining Unallocated Deficit
0,2021.0,1.0342613386524124,2.2086380603078664,0.0,0.0,1.0,1.0,4233325.0,4233325.0,50621464.24372475,23158123.495972835,0.0,125497368.81712994,152115106.99999997,24045299.753371693,0.0,0.0
1,2022.0,3.7262757154154356,7.435886063227439,0.0,0.0,1.0,0.0,0.0,0.0,2800000.0,30942999.381068736,0.0,45010092.09643068,153661919.18200377,26878161.07698,0.0,0.0
2,2023.0,7.917653345410788,17.122215719396088,0.0,0.0,0.0,0.0,6401373.936877894,6401373.936877894,4400000.0,0.0,0.0,117475692.6697635,249730173.43460044,29851086.181929763,0.0,0.0
3,2024.0,9.432459266179192,18.057583286785956,0.0,0.0,1.0,1.0,9737296.0623564,9737296.0623564,7120071.573826775,35594058.19096922,0.0,216893678.99440932,435875921.9806019,35811028.43904364,0.0,0.0
4,2025.0,11.094424232260755,19.399817711032977,0.0,0.0,1.0,1.0,15958911.961616622,15958911.961616622,8548082.24496141,55710069.74738711,0.0,387008792.2757572,769471140.2669312,44733426.29027425,0.0,0.0
5,2026.0,12.064315326331608,19.699860683490268,0.0,0.0,1.0,1.0,27850561.087468218,27850561.087468218,11211374.001081347,102098909.31874529,0.0,684362756.3213507,1366730418.6691067,51629508.513907366,0.0,0.0
6,2027.0,12.823216159327698,19.88346741264548,0.0,0.0,1.0,1.0,47044279.43668245,47044279.43668245,16301841.107434988,181795872.34861895,0.0,1211335316.4631295,2434896191.4304714,67757634.61760244,0.0,0.0
7,2028.0,13.219557280261862,19.926332234201997,0.0,0.0,1.0,1.0,85863142.84260942,85863142.84260942,24518110.429819345,323881123.86285,0.0,2142192205.6464195,4345291057.4536705,80078222.3004756,0.0,0.0
8,2029.0,13.275567023775848,20.08788301429981,0.0,0.0,1.0,1.0,150707681.59725085,150707681.59725085,41135330.226888895,573439942.5222292,0.0,3819650718.0305624,7761377696.41699,94994233.15198945,0.0,0.0
9,2030.0,17.281968939501052,30.559156369016257,0.0,0.0,1.0,1.0,259518491.0821928,259518491.0821928,68893380.27224493,1024782744.8895884,0.0,6583017177.557483,13726524251.93128,114771766.24723741,0.0,0.0
10,2031.0,49.02187040866065,591.3241357276875,0.0,0.0,1.0,1.0,462147811.3660355,462147811.3660355,115472104.60532951,1793864261.9555407,0.0,11090338597.748592,24094127059.57394,141898904.48444617,0.0,0.0
11,2032.0,51.92991062831969,419.03944111190384,0.0,0.0,1.0,1.0,801016543.4781227,801016543.4781227,197831958.13589096,3138972667.0440984,0.0,19902450768.207928,43113615840.600296,172924037.1560066,0.0,0.0
12,2033.0,51.51070499320833,650.6356174080925,0.0,0.0,1.0,1.0,1437288234.343866,1437288234.343866,342891748.9127922,5635377821.855989,0.0,35872179118.46936,77080380315.67685,209813047.37003598,0.0,0.0
13,2034.0,54.15713630459838,877.0359981665271,0.0,0.0,1.0,1.0,2553970923.2908425,2553970923.2908425,615261045.9529343,10227881584.100136,0.0,64067935073.30573,137841588187.9924,247491555.85763854,0.0,0.0
14,2035.0,56.58489092644942,1521.7236598222696,0.0,0.0,1.0,1.0,4598881462.601822,4598881462.601822,1093280237.0810776,18271242946.19146,0.0,113718544357.591,246487852101.93097,321074710.47885615,0.0,0.0
15,2036.0,60.21766775408687,1639.18073716789,0.0,0.0,1.0,1.0,8196145966.980901,8196145966.980901,1968646616.0948334,32371199070.950653,0.0,203125578315.88318,440876869160.28033,367587235.89540374,0.0,0.0
16,2037.0,61.177633628626026,2590.8369650144546,0.0,0.0,1.0,1.0,14619196597.44467,14619196597.44467,3508530314.192444,57781758039.861664,0.0,363697336289.3926,788490703947.8776,489673053.9388203,0.0,0.0
17,2038.0,57.096615481311304,9910.76948238043,0.0,0.0,1.0,1.0,26781974103.90687,26781974103.90687,6258050385.8654175,103571770250.70973,0.0,651828251763.9447,1410136325318.2542,576900349.467468,0.0,0.0
18,2039.0,58.07886377727507,18187.402301935792,0.0,0.0,1.0,1.0,48143377430.66121,48143377430.66121,11464579620.229248,186060059090.9304,0.0,1160941340642.5273,2522221112404.3364,673406438.6306871,0.0,0.0
